sequence_name,dominant_background,dominant_foreground
Basic_Instinct_5821_5831_22,Black,Grey
Basic_Instinct_5821_5831_22,Black,Grey
Basic_Instinct_620_630_23,Grey,White
Basic_Instinct_620_630_23,Grey,White
Basic_Instinct_620_630_23,Grey,Grey
Basic_Instinct_620_630_23,Grey,Grey
Basic_Instinct_620_630_23,Black,Black
Batman_Begins_1243_1253_2,Blue,Blue
Batman_Begins_1243_1253_2,Blue,Black
Batman_Begins_1243_1253_2,Black,Black
Batman_Begins_1243_1253_2,Blue,Blue
Batman_Begins_1243_1253_2,Blue,Blue
Batman_Begins_1550_1560_5,Grey,Black
Batman_Begins_1550_1560_5,Black,Black
Batman_Begins_1550_1560_5,Black,Black
Batman_Begins_1550_1560_5,Black,Grey
Batman_Begins_1550_1560_5,Black,Black
Batman_Begins_1805_1815_4,Black,Brown
Batman_Begins_1805_1815_4,Black,Brown
Batman_Begins_1805_1815_4,Black,Black
Batman_Begins_1805_1815_4,Black,Brown
Batman_Begins_1805_1815_4,Black,Brown
Batman_Begins_2867_2877_7,Black,Black
Batman_Begins_2867_2877_7,Black,Black
Batman_Begins_2867_2877_7,Black,Grey
Batman_Begins_2867_2877_7,Black,Grey
Batman_Begins_2867_2877_7,Black,Black
Batman_Begins_3386_3396_6,Black,Black
Batman_Begins_3386_3396_6,Black,Black
Batman_Begins_3386_3396_6,Black,Black
Batman_Begins_3386_3396_6,Black,Black
Batman_Begins_3386_3396_6,Black,Black
Batman_Begins_3574_3584_3,Black,Black
Batman_Begins_3574_3584_3,Black,Black
Batman_Begins_3574_3584_3,Black,Black
Batman_Begins_3574_3584_3,Black,Black
Batman_Begins_3574_3584_3,Black,Black
Batman_Begins_4580_4590_1,Black,Black
Batman_Begins_4580_4590_1,Black,Black
Batman_Begins_4580_4590_1,Black,Black
Batman_Begins_4580_4590_1,Black,Black
Batman_Begins_4580_4590_1,Black,Black
Being_John_Malkovich_1608_1618_6,Black,Black
Being_John_Malkovich_1608_1618_6,Black,Black
Being_John_Malkovich_1608_1618_6,Black,Black
Being_John_Malkovich_1608_1618_6,Black,Black
Being_John_Malkovich_1608_1618_6,Black,Black
Being_John_Malkovich_204_214_1,Black,Grey
Being_John_Malkovich_204_214_1,Black,Black
Being_John_Malkovich_204_214_1,Black,Black
Being_John_Malkovich_204_214_1,Black,Black
Being_John_Malkovich_204_214_1,Black,Black
Being_John_Malkovich_2547_2557_3,Black,Black
Being_John_Malkovich_2547_2557_3,Black,Black
Being_John_Malkovich_2547_2557_3,Black,Black
Being_John_Malkovich_2547_2557_3,Black,Black
Being_John_Malkovich_2547_2557_3,Black,Black
Being_John_Malkovich_3755_3765_4,Black,Black
Being_John_Malkovich_3755_3765_4,Black,Black
Being_John_Malkovich_3755_3765_4,Black,Black
Being_John_Malkovich_3755_3765_4,Black,Black
Being_John_Malkovich_3755_3765_4,Black,Black
Being_John_Malkovich_4026_4036_7,Black,Black
Being_John_Malkovich_4026_4036_7,Black,White
Being_John_Malkovich_4026_4036_7,Black,Black
Being_John_Malkovich_4026_4036_7,Black,Black
Being_John_Malkovich_4026_4036_7,Black,Black
Being_John_Malkovich_4430_4440_5,Black,Black
Being_John_Malkovich_4430_4440_5,Black,Black
Being_John_Malkovich_4430_4440_5,Black,Black
Being_John_Malkovich_4430_4440_5,Black,Black
Being_John_Malkovich_4430_4440_5,Black,Black
Being_John_Malkovich_760_770_2,Black,Grey
Being_John_Malkovich_760_770_2,Black,Black
Being_John_Malkovich_760_770_2,Black,Black
Being_John_Malkovich_760_770_2,Black,Grey
Being_John_Malkovich_760_770_2,Black,Black
Birdman_233_243_31,Black,Black
Birdman_233_243_31,Black,Black
Birdman_233_243_31,Brown,Grey
Birdman_233_243_31,Brown,Black
Birdman_233_243_31,Black,Black
Birdman_2834_2844_30,Black,Black
Birdman_2834_2844_30,Black,Black
Birdman_2834_2844_30,Black,Black
Birdman_2834_2844_30,Black,Black
Birdman_2834_2844_30,Black,Black
Birdman_2966_2976_33,Black,Black
Birdman_2966_2976_33,Black,Black
Birdman_2966_2976_33,Black,Black
Birdman_2966_2976_33,Black,Black
Birdman_2966_2976_33,Black,Black
Birdman_3144_3154_34,Black,Black
Birdman_3144_3154_34,Black,Black
Birdman_3144_3154_34,Black,Black
Birdman_3144_3154_34,Black,Black
Birdman_3144_3154_34,Black,Black
Birdman_3164_3174_29,Black,Black
Birdman_3164_3174_29,Black,Black
Birdman_3164_3174_29,Black,Black
Birdman_3164_3174_29,Black,Black
Birdman_3164_3174_29,Black,Black
Birdman_437_447_35,Black,Black
Birdman_437_447_35,Black,Black
Birdman_437_447_35,Black,Black
Birdman_437_447_35,Black,Black
Birdman_437_447_35,Black,Black
Birdman_909_919_32,Black,Black
Birdman_909_919_32,Black,Black
Birdman_909_919_32,Black,Black
Birdman_909_919_32,Black,Black
Birdman_909_919_32,Black,Black
Black_Mass_1676_1686_38,Black,Grey
Black_Mass_1676_1686_38,Black,Grey
Black_Mass_1676_1686_38,Black,Grey
Black_Mass_1676_1686_38,Black,Grey
Black_Mass_1676_1686_38,Black,Grey
Black_Mass_1866_1876_41,Black,Black
Black_Mass_1866_1876_41,Black,Black
Black_Mass_1866_1876_41,Black,Black
Black_Mass_1866_1876_41,Black,Black
Black_Mass_1866_1876_41,Black,Black
Black_Mass_2444_2454_37,Grey,Grey
Black_Mass_2444_2454_37,Grey,Grey
Black_Mass_2444_2454_37,Grey,Black
Black_Mass_2444_2454_37,Grey,Black
Black_Mass_2444_2454_37,Grey,Grey
Black_Mass_2841_2851_39,Black,Black
Black_Mass_2841_2851_39,Black,Black
Black_Mass_2841_2851_39,Black,Black
Black_Mass_2841_2851_39,Black,Black
Black_Mass_2841_2851_39,Black,Black
Black_Mass_311_321_40,Black,Black
Black_Mass_311_321_40,Black,Black
Black_Mass_311_321_40,Black,Black
Black_Mass_311_321_40,Black,Black
Black_Mass_311_321_40,Black,Black
Black_Mass_4040_4050_42,Black,Black
Black_Mass_4040_4050_42,Black,Black
Black_Mass_4040_4050_42,Black,Black
Black_Mass_4040_4050_42,Black,Black
Black_Mass_4040_4050_42,Black,Black
Black_Swan_1655_1665_11,Black,Black
Black_Swan_1655_1665_11,Black,Black
Black_Swan_1655_1665_11,Black,Black
Black_Swan_1655_1665_11,Black,Black
Black_Swan_1655_1665_11,Black,Black
Black_Swan_2364_2374_12,Black,Black
Black_Swan_2364_2374_12,Black,White
Black_Swan_2364_2374_12,Black,White
Black_Swan_2364_2374_12,Black,White
Black_Swan_2364_2374_12,Black,White
Black_Swan_2774_2784_13,Black,Black
Black_Swan_2774_2784_13,Black,Black
Black_Swan_2774_2784_13,Grey,Black
Black_Swan_2774_2784_13,Black,Black
Black_Swan_2774_2784_13,Grey,Black
Black_Swan_4468_4478_14,Black,Black
Black_Swan_4468_4478_14,Black,Black
Black_Swan_4468_4478_14,Black,Grey
Black_Swan_4468_4478_14,Black,Black
Black_Swan_4468_4478_14,Black,Black
Black_Swan_449_459_8,Black,Black
Black_Swan_449_459_8,Black,Black
Black_Swan_449_459_8,Black,Black
Black_Swan_449_459_8,Black,Black
Black_Swan_449_459_8,Black,Black
Black_Swan_863_873_9,Black,Grey
Black_Swan_863_873_9,Grey,Grey
Black_Swan_863_873_9,Grey,Grey
Black_Swan_863_873_9,Grey,Grey
Black_Swan_863_873_9,Black,Grey
Black_Swan_949_959_10,Black,Black
Black_Swan_949_959_10,Black,Black
Black_Swan_949_959_10,Black,Black
Black_Swan_949_959_10,Black,Black
Black_Swan_949_959_10,Black,Black
Boyhood_1166_1176_5,Brown,Brown
Boyhood_1166_1176_5,Grey,Black
Boyhood_1166_1176_5,Brown,Grey
Boyhood_1166_1176_5,Brown,Grey
Boyhood_1166_1176_5,Brown,Grey
Boyhood_183_193_7,Grey,Black
Boyhood_183_193_7,Grey,Black
Boyhood_183_193_7,Grey,Black
Boyhood_183_193_7,Grey,Black
Boyhood_183_193_7,Grey,Black
Boyhood_290_300_6,Black,Black
Boyhood_290_300_6,Black,Black
Boyhood_290_300_6,Black,Black
Boyhood_290_300_6,Black,Black
Boyhood_290_300_6,Black,Black
Boyhood_3308_3318_2,Black,Black
Boyhood_3308_3318_2,Black,Black
Boyhood_3308_3318_2,Grey,Grey
Boyhood_3308_3318_2,Grey,Grey
Boyhood_3308_3318_2,Black,Black
Boyhood_3860_3870_4,Brown,Brown
Boyhood_3860_3870_4,Black,Brown
Boyhood_3860_3870_4,Brown,Brown
Boyhood_3860_3870_4,Black,Brown
Boyhood_3860_3870_4,Black,Brown
Boyhood_4249_4259_1,Black,Black
Boyhood_4249_4259_1,Black,Black
Boyhood_4249_4259_1,Black,Black
Boyhood_4249_4259_1,Black,Brown
Boyhood_4249_4259_1,Black,Brown
Boyhood_507_517_3,Black,Brown
Boyhood_507_517_3,Black,Brown
Boyhood_507_517_3,Black,Brown
Boyhood_507_517_3,Black,Brown
Boyhood_507_517_3,Black,Brown
Chappie_2786_2796_48,Grey,Grey
Chappie_2786_2796_48,Grey,White
Chappie_2786_2796_48,Grey,Black
Chappie_2786_2796_48,Grey,Black
Chappie_2786_2796_48,Grey,Grey
Chappie_3119_3129_45,Black,White
Chappie_3119_3129_45,Black,White
Chappie_3119_3129_45,Black,White
Chappie_3119_3129_45,Black,White
Chappie_3119_3129_45,Black,White
Chappie_4395_4405_46,Black,Black
Chappie_4395_4405_46,Black,Black
Chappie_4395_4405_46,Black,Blue
Chappie_4395_4405_46,Black,Blue
Chappie_4395_4405_46,Black,Black
Chappie_4534_4544_47,Black,Black
Chappie_4534_4544_47,Black,Blue
Chappie_4534_4544_47,Black,Blue
Chappie_4534_4544_47,Black,Black
Chappie_4534_4544_47,Black,Blue
Chappie_513_523_43,Black,Black
Chappie_513_523_43,White,White
Chappie_513_523_43,Grey,Brown
Chappie_513_523_43,Brown,Grey
Chappie_513_523_43,Black,Black
Chappie_6123_6133_49,Grey,Black
Chappie_6123_6133_49,Grey,Black
Chappie_6123_6133_49,Black,Black
Chappie_6123_6133_49,Black,Black
Chappie_6123_6133_49,Black,Black
Chappie_866_876_44,Black,Grey
Chappie_866_876_44,Black,Grey
Chappie_866_876_44,Black,Grey
Chappie_866_876_44,Black,Grey
Chappie_866_876_44,Black,Grey
Charlies_Angels_2085_2095_14,Brown,Brown
Charlies_Angels_2085_2095_14,White,White
Charlies_Angels_2085_2095_14,Grey,Blue
Charlies_Angels_2085_2095_14,Brown,Brown
Charlies_Angels_2085_2095_14,Black,Black
Charlies_Angels_212_222_10,Brown,Brown
Charlies_Angels_212_222_10,Brown,Brown
Charlies_Angels_212_222_10,Brown,Brown
Charlies_Angels_212_222_10,Black,Brown
Charlies_Angels_212_222_10,Brown,Brown
Charlies_Angels_2352_2362_8,Green,Green
Charlies_Angels_2352_2362_8,Green,Green
Charlies_Angels_2352_2362_8,Green,Green
Charlies_Angels_2352_2362_8,Grey,Grey
Charlies_Angels_2352_2362_8,Grey,Black
Charlies_Angels_2449_2459_13,Grey,Brown
Charlies_Angels_2449_2459_13,Grey,Brown
Charlies_Angels_2449_2459_13,Brown,Brown
Charlies_Angels_2449_2459_13,Brown,Black
Charlies_Angels_2449_2459_13,Brown,Brown
Charlies_Angels_3960_3970_11,Black,Black
Charlies_Angels_3960_3970_11,Black,Black
Charlies_Angels_3960_3970_11,Black,Black
Charlies_Angels_3960_3970_11,Black,Black
Charlies_Angels_3960_3970_11,Black,Black
Charlies_Angels_4215_4225_9,Brown,Brown
Charlies_Angels_4215_4225_9,Black,Grey
Charlies_Angels_4215_4225_9,Black,Grey
Charlies_Angels_4215_4225_9,White,White
Charlies_Angels_4215_4225_9,Black,Brown
Charlies_Angels_609_619_12,Blue,Blue
Charlies_Angels_609_619_12,Red,Red
Charlies_Angels_609_619_12,Black,Black
Charlies_Angels_609_619_12,Blue,Black
Charlies_Angels_609_619_12,White,Black
Dallas_Buyers_Club_1800_1810_52,Black,Brown
Dallas_Buyers_Club_1800_1810_52,Black,Brown
Dallas_Buyers_Club_1800_1810_52,Black,Brown
Dallas_Buyers_Club_1800_1810_52,Black,Brown
Dallas_Buyers_Club_1800_1810_52,Black,Brown
Dallas_Buyers_Club_1864_1874_56,Brown,White
Dallas_Buyers_Club_1864_1874_56,Brown,Brown
Dallas_Buyers_Club_1864_1874_56,Brown,Brown
Dallas_Buyers_Club_1864_1874_56,Brown,Brown
Dallas_Buyers_Club_1864_1874_56,Brown,Brown
Dallas_Buyers_Club_2811_2821_55,Black,White
Dallas_Buyers_Club_2811_2821_55,Grey,Black
Dallas_Buyers_Club_2811_2821_55,Black,White
Dallas_Buyers_Club_2811_2821_55,Black,Black
Dallas_Buyers_Club_2811_2821_55,Black,Black
Dallas_Buyers_Club_3696_3706_50,Grey,Black
Dallas_Buyers_Club_3696_3706_50,Grey,Grey
Dallas_Buyers_Club_3696_3706_50,Green,Black
Dallas_Buyers_Club_3696_3706_50,Brown,Brown
Dallas_Buyers_Club_3696_3706_50,Brown,Brown
Dallas_Buyers_Club_3723_3733_54,Brown,Brown
Dallas_Buyers_Club_3723_3733_54,Brown,Brown
Dallas_Buyers_Club_3723_3733_54,Brown,Brown
Dallas_Buyers_Club_3723_3733_54,Brown,Brown
Dallas_Buyers_Club_3723_3733_54,Brown,Brown
Dallas_Buyers_Club_4423_4433_51,Black,Black
Dallas_Buyers_Club_4423_4433_51,Black,Black
Dallas_Buyers_Club_4423_4433_51,Black,Black
Dallas_Buyers_Club_4423_4433_51,Black,Brown
Dallas_Buyers_Club_4423_4433_51,Black,Black
Dallas_Buyers_Club_4849_4859_53,Black,Black
Dallas_Buyers_Club_4849_4859_53,Black,Black
Dallas_Buyers_Club_4849_4859_53,Black,Black
Dallas_Buyers_Club_4849_4859_53,Black,Black
Dallas_Buyers_Club_4849_4859_53,Black,Black
Dawn_of_the_Planet_of_the_Apes_1791_1801_57,Black,Black
Dawn_of_the_Planet_of_the_Apes_1791_1801_57,Black,Black
Dawn_of_the_Planet_of_the_Apes_1791_1801_57,Black,Black
Dawn_of_the_Planet_of_the_Apes_1791_1801_57,Black,Black
Dawn_of_the_Planet_of_the_Apes_1791_1801_57,Black,Black
Dawn_of_the_Planet_of_the_Apes_2194_2204_62,Black,Black
Dawn_of_the_Planet_of_the_Apes_2194_2204_62,Black,Black
Dawn_of_the_Planet_of_the_Apes_2194_2204_62,Black,Black
Dawn_of_the_Planet_of_the_Apes_2194_2204_62,Black,Black
Dawn_of_the_Planet_of_the_Apes_2194_2204_62,Black,Black
Dawn_of_the_Planet_of_the_Apes_2304_2314_58,Black,Black
Dawn_of_the_Planet_of_the_Apes_2304_2314_58,Black,Black
Dawn_of_the_Planet_of_the_Apes_2304_2314_58,Black,Black
Dawn_of_the_Planet_of_the_Apes_2304_2314_58,Black,Black
