TEXTO,SECTOR,MARCA,CANAL,AWARENESS,EVALUATION,PURCHASE,POSTPURCHASE,NC2
"@auronplay no nos engañas, estas en el ikea y te vas cambiando de habitaciones.",RETAIL,IKEA,Microblog,0,0,0,0,1
@aytogetafe @aytogetafe @sara_heba @PodemosGetafe @CsGetafe @PsoeGetafe @PPGetafe C.Río Genil frente a Leroy Merlin… https://t.co/gtKsB3Kh62,RETAIL,LEROY MERLIN,Microblog,0,0,0,0,1
"@BalaurCum En el leroy merlin, por ejemplo, calienta muuucho más que un secar tirando menos aire
Una herramienta para grabar mediante calor",RETAIL,LEROY MERLIN,Microblog,0,1,0,0,0
@bbking_lucille qué pasa con la panga??? yo la probé hace exactamente 6 años en Denia (comprada en Mercadona eso sí) y nunca más #Dato,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@bemyserotonin esque visualmente es IGUAL venden en el día el mercadona... yo creo que lo es,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@BerberechoE Están en 2ª rebajas en MEDIAMARKT,RETAIL,MEDIAMARKT,Microblog,0,0,0,0,1
@beticorro1 @Todojingles ya cabrones pero no vengáis todos a mi sección de baños del Leroy merlin,RETAIL,LEROY MERLIN,Microblog,0,0,0,0,1
@Briznilla_ podríais tomar nota @Mercadona,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@bukukubukuku @sincarisma La sintonía del mercadona,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@ByBryanGamerYTu De la bolsa de congelados de mercadona: ñoquis con pollo y verduras y luego pimientos rellenos de carne XD Estan buenisimos,RETAIL,MERCADONA,Microblog,0,1,0,0,0
"@c_spyro Las del mercadona o las de york y queso normales van que chuta, las pequeñitas",RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@Caarlootaa_S ya basta, ahora por esto te obligo a que pases conmigo ese innombrable día 🌚 quiero mucho 🍫, ya puedes ir yendo al mercadona",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@cansinoroyal El jazz de Carrefour es muy bueno.,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@caputoflavio83 lee la historia q te guste pero en ninguna vas a encontrar a San Carrefour campeon dl mundo o la intercontinental
BOBO",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@caputoflavio83 si en alguna d tus fuentes historicas figura carrefour campeon dl mundo pasame el link asi se enteran todos...
FRACA",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@carlargmo JJAJAJAJAJAJAJA cuando veía un Mercadona https://t.co/2GoZVNsJJC,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Carolinajri @AlCaRuaf @MariaBrosy6 me habéis pillado en el @Mercadona 😂😂😂,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@carrefourarg @OtroZombieMas dona carrefour y se descuenta impuestos adivinen quien....,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@carrefourarg Carrefour aumentaste más de un 50% y ahora haces una rebaja miserable. Dejen de lucrar!!!,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@carrefourarg carrefour estas vacio.....no afanen+,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@carrefourarg hace dos años que no compro en Carrefour debido a la recurrentes estafas y la estafa de Macri gato con la tarjeta VOS,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@carrefourarg Todo muy caro. Nunca a Carrefour,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@CarrefourES otro propósito traer isla de sushi a carrefour de lorca,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@CayetanadAlba @_Ezetweets jajajajjaa y en ikea tb los hay... ya pedir q se lo comore de cuerpo entero va a ser mas complicado no?😂😂,RETAIL,IKEA,Microblog,0,0,0,0,1
@CFKArgentina No eran de ikea,RETAIL,IKEA,Microblog,0,0,0,0,1
@charly_santoyo @juliosierra14 @guillermobr2 @ines_latorre @JavierPulido531 @monserratlara99  hay leña y el Mercadona esta alado nos rayéis,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@ChiaEscalante @Dios jajajajajjaa el de Carrefour nos queda más cerca,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@chselles @sacedator lo vende Mercadona congelado,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@ClaraSaliz en el Carrefour de los corazones el precio no está mal y en media hora tienes el A4 😊 y es papel de fotos en condiciones,RETAIL,CARREFOUR,Microblog,0,1,0,0,0
"@clarincom muchachos, Coto y Dia nunca dejaron de vender, ni hablar d chinos, verdulerias y demas. El único q veo q la cumple es Carrefour.",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@Correos, porfavor, contratar a gente mejor cualificada y preparada para trabajar en las oficinas de Correos Móstoles Mercadona. Gracias.",RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@corsa37 ¿Te parece caro menos d 3€ 1L de zumo natural? 😱 Poco zumo tomas fuera. Y menudo coñazo hacerlo en casa, lo q se mancha @Mercadona",RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@corsa37 No creas. Suma naranjas, electricidad, freganzo y tiempo @Mercadona",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@CRFresponde pues no me lo dan .... que simpáticos son en el Carrefour de Vallecas #ironia,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@Cristian_Aoshi te vi a regalar una cocina del ikea, para que te la montes tu y llores cuando te falte una pieza.",RETAIL,IKEA,Microblog,0,0,0,0,1
@cuentametve tenéis que decidme en qué Decathlon compra Carlos las camisetas de Domyos... #AnacronismoON,RETAIL,DECATHLON,Microblog,0,0,0,0,1
"@CuleFer no me lo puedo creer, espero que no fuera de la marca mercadona sería patético...jajaja",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Cvlaforett @paulavillalba25 vas divino hasta con una bolsa del mercadona en la cabeza #CreandoTendencias,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@dani_nite @katherine95_ @AnflyRdgz Me meo contigo. Me voy al Mercadona que me das ansiety.,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Darkuxs96 @mimi_Sakura9357 yo tengo la misma la pille en Carrefour por 80€,RETAIL,CARREFOUR,Microblog,0,0,0,1,0
"@davidbroncano me imagino tu camerino como una sección de frutas y verduras del Mercadona, pero con un sofá.",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@DaviddeMontemus yo soy Ikea lover. ...pero en casa no me funciona el planificador!,RETAIL,IKEA,Microblog,0,0,0,0,1
"@davidferhk21 Yo las compro en el carrefour cuando puedo, que a veces las ponen a 1€",RETAIL,CARREFOUR,Microblog,0,1,0,0,0
"@Davidstar9x No es una mierda parece zumo de ese barato del Mercadona, YTs lo promociona como la mejor bebida a saber cuánto le han pagado!!",RETAIL,MERCADONA,Microblog,0,1,0,0,0
"@DEBORAH_______ 
El ikea es como un saneamiento de ganao 😓😓😓😧😧😧😧",RETAIL,IKEA,Microblog,0,0,0,0,1
@DEBORAH_______ @LalaKarenina Y mañana estoy yo en Mercadona,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@DEBORAH_______ Me contó como le ha arruinó IKEA,RETAIL,IKEA,Microblog,0,0,0,0,1
"@DehesaGrande suministrará a @CarrefourES carne de ternera de la comarca de #Vitigudino
https://t.co/VIafCvtGun https://t.co/PcKXryLZKn",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@DehesaGrande venderá su carne de vacuno en los Carrefour de Castilla y León https://t.co/3gXSHs6E48,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@DelfinAsturiano joder con el Carrefour!,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@Desahogada Ha sido leer mercadona y ponerme a cantar la cancioncita :'),RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Desiree8sm Decathlon vende más barato y sus prendas dan resultado. Ésta parece que no 😬,RETAIL,DECATHLON,Microblog,0,0,0,0,1
"@diegoleuco mismo producto. carrefour y super chino (mas barato) mucha disparidad, el hiper compra + cantidad,tendria q estar mas barato ahi",RETAIL,CARREFOUR,Microblog,0,1,0,0,1
@diegorlrc @Elpipadelapipol coto o Carrefour eso?,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@dxmenxkielos Del mercadona, sí.",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@eddiedean y el alicatao del metro de Londres y las plantas de plástico del ikea,RETAIL,IKEA,Microblog,0,0,0,0,1
"@eddsos jajajaja a mi nunca me ha pasado eso, que yo recuerde 😁 Ikea debe tener un seguro para gente como tu 😜",RETAIL,IKEA,Microblog,0,0,0,0,1
@eddsos pues yo en Ikea siempre que voy me paso horas y me gasto un dineral... Yo a Ikea no puedo ir. 😂,RETAIL,IKEA,Microblog,0,0,0,0,1
@EduardoScalis @Mabby64 ..Exacto!!!..Nadie compre en Carrefour....por dos semanas ...y bajarán!!!!,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@EjercitoAire @regiondemurcia @guardiacivil mar receta tío pako y pepe familia bukanero Sánchez cegarra productos mercadona,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@elchiringuitotv @juanma_rguez anda vete al carrefour y comprate un flequillo tiburon,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@elcorreo_com
#Eroski unos careros, #Erkoreka 1 LADRONES, y claro, como #Mercadona es a nivel #nacional, como les jode a muchos, pues ale...",RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@elcorreo_com
6 meses por que no han podido con la competencia del #Mercadona de #SanMames, asi que, ahora no se quejen tanto",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@elfaco hablando de eso cuando llega IKEA?,RETAIL,IKEA,Microblog,0,0,0,0,1
"@elyciaclexa y como metan a Aylén ya apaga y vámonos, esto parece el Mercadona con los carros entonces",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@EmiBiancoo a las 3 en Carrefour perro aa,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@Ensaladimada @ajuntpalma y a los 5 minutos tampoco en Blanquerna frente a @Mercadona quedaban bicicletas disponibles,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@espof @Vegadona @Mercadona @burgermel ahora nos faltan los yogures de soja sin azúcar,RETAIL,MERCADONA,Microblog,0,0,1,0,0
@Extrasymas @YouTube discrepo aunque mercadona es alto temazo,RETAIL,MERCADONA,Microblog,0,0,0,0,0
"@faigcrispetes creo que la venden en el mercadona, si me la como así sin más sabe a mierda?",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@FatyJalil yo creo que ha pensado ya que son 5 mejor los hago en el carrefour que lo tengo debajo d casa xque el dia esta mu lejos jajaja😅,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@flipper83 precio ikea lol 😂,RETAIL,IKEA,Microblog,0,0,0,0,1
"@fmoran67 un croquis, como en ikea...",RETAIL,IKEA,Microblog,0,0,0,0,1
"@focusings aceite de coco (del mercadona, por ejemplo)",RETAIL,MERCADONA,Microblog,0,0,0,0,0
@focusings también aceite de argán o keratina después del baño. Las más baratas y q funcionen: mercadona el aceite y primark la keratina,RETAIL,MERCADONA,Microblog,0,1,0,0,0
"@Fotomaf @InmaFerragud @kurioso @KrITIK4L @Zurdo @Mercadona @PlayStationES @SonyEspana OMG, pedazo multimención! https://t.co/Ay5Ncg8uEw",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Fotomaf @KrITIK4L @InmaFerragud @Zurdo @Audiense_es ... yo voy a mencionar a @Mercadona porque me apetece...,RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@Fotomaf @kurioso @KrITIK4L @Zurdo @Audiense_es @Mercadona @PlayStationES @SonyEspana aceptado, que es cliente también 😉",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@francircuito Condenado al pc del carrefour,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@GomezRocio23 pues en el ikea o el primark hay seguramente bastante baratitas, ojalá llenar mi habitación de ellas son geniales",RETAIL,IKEA,Microblog,0,1,0,0,0
@greenpeeptoes ikea a puesto a la venta cajas de madera: https://t.co/Pv8ByXSr8C,RETAIL,IKEA,Microblog,0,0,0,0,0
@guisandomela Ok. Gracias. Pues me decanto claramente por la primera y más comoda opción 😉 Espero encontrarlos en Hipercor o Carrefour,RETAIL,CARREFOUR,Microblog,0,0,1,0,0
"@herrero33 Jajaja es que es el soserío en persona, El casting del VIP parece que lo han hecho en un IKEA.",RETAIL,IKEA,Microblog,0,0,0,0,1
"@HNandoGB chocolates, los compré en Decathlon. 🙈",RETAIL,DECATHLON,Microblog,0,0,0,1,0
@hombrerevenido @nacho_u Podemos iniciar una guerra y prohibiros el acceso a Ikea. Te parecerá bien pero vuestras mujeres os matarían.,RETAIL,IKEA,Microblog,0,0,0,0,1
"@Hoypono Hola, la devolución de los libros en Alcampo se puede realizar en los 30 días siguientes a la compra, llevando el ticket. Un saludo",RETAIL,ALCAMPO,Microblog,0,0,0,0,1
"@IdeaParaElHogar: Catálogo IKEA 2017, ¡ya están aquí todas las novedades! https://t.co/Tz8iEoDwiQ https://t.co/ApAu3sbvMo",RETAIL,IKEA,Microblog,0,0,0,0,1
@iidatenya son del ikea la foto es de ayer 😭😭,RETAIL,IKEA,Microblog,0,0,0,1,0
@IKEASpain estás son las cosas que valor mucho en IKEA! Muy bien.,RETAIL,IKEA,Microblog,0,0,0,0,1
@ilse0101 @ChinoCruceiro @sacedator @chselles a lo mejor se lo dijo en la barra del bar y era reponedor de Carrefour. Loque hay que leer...,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@ilse0101 @chselles ¿Más contaminación que las almejas del mar del Japón tras Fukusima? Se venden en el Mercadona.,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@infobae y los supermercados tambien en especial carrefour.,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@InmaFerragud @kurioso @KrITIK4L @Zurdo @Audiense_es @Mercadona @PlayStationES y @SonyEspana tiene flow,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@IsaSierra_ Carrefour es más grande que San Lorenzo JAJAJAJA,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@itellez95 en Mercadona también venden! Mercadooooona...MERCA-DO-NA! 🎶🎶🎶,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Jacobecos no decías lo mismo cuando te forzaba en los baños del Mercadona xDD,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@jatirado yo compro en Alcampo y Lidl.,RETAIL,ALCAMPO,Microblog,0,0,0,0,1
@JaviBeniPani pa donde vas con esa foto robando carros del mercadona ...,RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@JerePallero a la vuelta del Carrefour, te queda cerca y todo, relativamente",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@jordanpezzo buen,  en un carrefour te parece mejor???  Lr vendemos a extranjeros con lo que sabemos,  no esta mala la idea che!!!!",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@JoseRobles97_ Después del carrefour, por??",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@Juan_LuchoXXX que haces con el gel de @Mercadona https://t.co/90iLdGEn7G,RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@JuanFigueroa7 si bola, ademas del chino que me dijo el bocha fui al Carrefour y a otros 5 chinos mas.. No estaba en ningún lado.",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@JuAntx0k 
""Doctor, veo imágenes de la vida pasada de mi corazón. Ayer estuve cinco minutos escogiendo champú en el Mercadona.""",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@jugosa09 DIOS QUE ASCO CUANDO HE VISTO QUE ERA DEL CARREFOUR,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@KeybladeRap @YouTube es mejor mercadona por favor,RETAIL,MERCADONA,Microblog,0,0,0,0,0
@kozmichaox pues esta todo el mundo superpreocupado por ella y Carrefour por ejemplo va a dejar de vender xD,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@kurioso @Fotomaf @KrITIK4L @Zurdo @Audiense_es oye, para mencionar a @mercadona, mejor menciona a @PlayStationES, que es cliente y molón ❤️",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@LaaiaMiau Tampoco lo venden ya en Carrefour 💪💪💪💪,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@LaboralPodemos Mercadona, Inditex, etc han fomentado la creación de muchas empresas pequeñas, medianas y grandes aki en este país",RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@laliliquelee no, no, no. Tiger es como Ikea, que vas a por papel celo y sales con un marco de fotos y un quitapelusas.",RETAIL,IKEA,Microblog,0,0,0,0,1
@lmFurii cuidao y apretarlo todo y q no te sobren tornillos q no es un mueble de ikea,RETAIL,IKEA,Microblog,0,0,0,0,1
"@LoMejorMelodia los dueños de decathlon y mercadona no llegaran a fin de mes, no cm la cajera a la q djan en paro...",RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@lucasllach sin control esto es una joda, quien lo debe regular? Queres fotos de Carrefour de Olivos? Los precios son iguales o mas caros",RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@LunnVic yo suelo usar la de coco del mercadona que es mravillosa o las de tela estas coreanas (la de miel y la de coco son top),RETAIL,MERCADONA,Microblog,0,1,0,0,0
@macarenagea ser brand ambassador de Mercadona sería mi sueño!,RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@MACHOVIDAL, un atentado ecológico, hay que echar una pequeña cantidad. Una gotita da para todo. 😂😂😂😂 @Juan_LuchoXXX. @Mercadona",RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@MaDe___LuN ok ahora voy a ikea, que mas?",RETAIL,IKEA,Microblog,0,0,0,0,1
"@MagicGusYT serás tacaño, que paga mercadona https://t.co/ifky77wGxV",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@mangeltrol0 leí carrefour en tu header,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@Manu_Kants @amybatbizkit pues del @Mercadona no era, con los sueldos de mierda q tienen, buen humor no les sobra",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Manusaurido (pregunta la mujer que tiene que estudiarse las instrucciones de Ikea para montar una Billy),RETAIL,IKEA,Microblog,0,0,0,0,1
@maqlisa jajajjaa ayer fui a Ikea a comprar la.cocina....dos veces!😔 no me riñas.....😭,RETAIL,IKEA,Microblog,0,0,0,0,1
@MarcosIvanS Yo en el Carrefour 😂😂😂 https://t.co/bMQx5UFlCK,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@MariaHappyHoran pues carrefour mismo tu prueba donde sea que vendan entradas,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@mariisaf2010 @SalgadoPao @IKEA @Publix Todavía no fui a publix. Estoy llorando ajjaja,RETAIL,IKEA,Microblog,0,0,0,0,1
@maru2310 ¿qué tal todo en el carrefour? ¿llevaste bolsas?,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
@matiasmas12 @HarryWuHe mañana vamos a mercadona a hacernos con un par d estos https://t.co/Xn4ZULlY6T,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@mauriciomacri le escribo de Salta hoy fui al supermercado Carrefour y ahora si compro en 3 cuotas me recargan el 6% por mes como lo ayudan?,RETAIL,CARREFOUR,Microblog,0,0,0,0,1
"@mcetpv tienes una pizzería al lado de casa y el Mercadona. Osea, es maravilloso",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona #Trescantos Xq en el aseo tenéis 🚺 con un montón de habitáculos y el de chico 🚹♿️ una pequeña habitación… https://t.co/bWjVmWSkvh,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona ¿por qué no tenéis piquitos sin gluten? 🤔 Creo que es lo único que os falta para que los celíacos hagamos la compra completa.,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona A ver si os gastais algo y renovais la web de compras online anclada en el medievo que teneis,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona esto alegró el día de muchos/as personas https://t.co/59PrO6AdKt #ChocolateBlancoConFresa #WhiteChocolate #Chocolate 🍓🍓🍓,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona gracias.,RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@Mercadona Hola, ¿no habéis retirado el pan multicereales de Beiker, verdad? No lo encuentro... 😞",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona me encantan las patatinas extra crujientes pero que cada vez que compro una bolsa haya más aire que patatas no me parece bien,RETAIL,MERCADONA,Microblog,0,1,0,0,0
"@Mercadona me parece lamentable que en vez de tener una máquina para detectar billetes falsos, las cajeras tengan que llamar al gerente.",RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona nuevas bolsas ya https://t.co/PUxFCGVcQO,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona otro?? https://t.co/VWmYEFPSqe,RETAIL,MERCADONA,Microblog,0,0,0,0,1
@Mercadona todavía no he probado una mandarina vuestra mediodecente en lo que llevamos de temporada. Parece que las secáis,RETAIL,MERCADONA,Microblog,0,1,0,0,0
@Mewinyourarea las venden en el mercadona y dije ostias lo que me dijo angela xD,RETAIL,MERCADONA,Microblog,0,1,0,0,0
@Miauschwitz EXACTO. Tengo que conformarme con el Día porque a Mercadona sí que no voy xd,RETAIL,MERCADONA,Microblog,0,1,0,0,0
@MiguelFrigenti  esa vieja otra visillo no......porfa fucking no.....    es ikea cheaper,RETAIL,IKEA,Microblog,0,0,0,0,1
"@Miguka es posible, suelo comprarla en el Mercadona.",RETAIL,MERCADONA,Microblog,0,0,0,0,1
"@MikeKerln @eddsos Sí te lo creo y he visto vídeos, y me han contado amigos pero nunca he vivido la experiencia IKEA 😭",RETAIL,IKEA,Microblog,0,0,0,0,1
